frame_id,LEFT_EYE_WIDTH,RIGHT_EYE_WIDTH,LEFT_EYE_HEIGHT,RIGHT_EYE_HEIGHT,LEFT_PUPIL_DIAMETER,RIGHT_PUPIL_DIAMETER,participant,difficulty_level,difficulty_easy,difficulty_hard,difficulty_medium,ROLL,PITCH,YAW,LEFT_PUPIL_POS_X,LEFT_PUPIL_POS_Y,RIGHT_PUPIL_POS_X,RIGHT_PUPIL_POS_Y,LEFT_EYE_CENTER_X,LEFT_EYE_CENTER_Y,RIGHT_EYE_CENTER_X,RIGHT_EYE_CENTER_Y
1631693838785,31.090032434243756,32.219126133931255,10.32556225258304,10.802374227285329,0.0001999999949475,3.162477731704712,participant_18,easy,1,0,0,0.03264313345283654,-2.9267397665480996,-0.05041381584201801,47.0,83.0,124.0,85.0,48.56720906,83.75575981,123.77009923,84.96772969
1631693838845,31.704443815251597,32.56065631344019,10.56006744872775,11.817708412638638,7.453760623931885,10.032149314880373,participant_18,easy,1,0,0,-0.09175051603403972,-2.568456963843802,0.07191665439699838,46.0,83.0,123.0,84.0,48.31977406,84.22777125,122.56548018,85.11378263
1631693838915,31.636914276633902,32.36519849448088,10.679579072402705,11.067923182145025,5.831151485443115,4.24284029006958,participant_18,easy,1,0,0,-0.4103607879951312,-3.4274193539156994,0.5098866425270646,46.0,82.0,122.0,83.0,46.64943322,83.71098776,122.43824221,84.27382212
1631693838915,31.636914276633902,32.36519849448088,10.679579072402705,11.067923182145025,5.831151485443115,4.24284029006958,participant_18,easy,1,0,0,-0.4103608679690183,-3.4274277431300266,0.5098861459596403,46.0,82.0,122.0,83.0,46.64943322,83.71098776,122.43824221,84.27382212
1631693839026,31.770620442111976,32.257816757210094,10.665144344402506,11.029028934244709,2.500200033187866,10.000200271606444,participant_18,easy,1,0,0,-0.27833735775956825,-2.0955934162252525,0.8016721282234559,46.0,83.0,122.0,85.0,47.05703864,84.9699349,121.46772425,85.36025814
1631693839132,31.69489272297505,32.33815509524902,10.455384798390696,10.876833015063312,4.472335815429688,7.842657566070557,participant_18,easy,1,0,0,-0.5032254764763593,-2.5174727394618954,0.10697778200193513,48.0,85.0,124.0,86.0,48.81119505,85.85587968,123.61031247,86.28497336
1631693689475,31.643328117672358,31.90765992261549,10.71724152387469,11.145994289094231,8.000200271606445,10.816854476928713,participant_18,hard,0,1,0,-0.5233197057498842,-2.0142586706418375,-0.2993336021115647,38.0,79.0,114.0,80.0,40.54151845,80.46376268,114.19116639,81.13205402
1631693689536,31.542603179495927,31.634709922118414,11.005628139746475,11.302270715723353,9.055585861206056,10.000200271606444,participant_18,hard,0,1,0,-0.2902676772169741,-2.2723286098540045,-0.6851077575607952,40.0,81.0,114.0,83.0,42.42174063,83.41761371,115.43725853,83.93701853
1631693689599,31.34737104649504,31.748883765303603,10.729991812737351,11.157653095051472,3.162477731704712,9.055585861206056,participant_18,hard,0,1,0,-0.27651583392548673,-1.9463770630345834,-0.30760780669109106,39.0,79.0,114.0,81.0,42.0755696,81.07116972,115.42661759,82.25690883
1631693689694,30.690275521781587,31.215366839491253,9.995548597706147,10.445703038292775,9.545413970947266,6.848480701446533,participant_18,hard,0,1,0,-0.4266123268099875,-1.681904864571961,-0.07282173958096262,40.0,82.0,115.0,83.0,43.21947891,82.93232804,116.13527875,83.67364995
1631693689741,30.690275521781587,31.215366839491253,9.995548597706147,10.445703038292775,8.544203758239746,7.354220867156982,participant_18,hard,0,1,0,-0.3489538988732761,-1.777099627459778,-0.18503399401901,40.0,82.0,116.0,84.0,43.21947891,82.93232804,116.13527875,83.67364995
1631693689802,30.66428897288553,31.38619987085165,9.747488260445609,10.220033187693844,9.434181213378906,6.082962512969971,participant_18,hard,0,1,0,-0.35895657956328364,-1.790635658132634,-0.18384451146135894,42.0,83.0,117.0,85.0,44.58955406,84.41595736,117.80400969,85.21112047
1631693689878,30.256600467619123,31.02175955671557,9.370817667258962,9.801864093824406,7.615972995758057,6.3247551918029785,participant_18,hard,0,1,0,-0.15127301896620793,-1.5893262768693968,0.31366900273533976,41.0,81.0,115.0,83.0,43.51679822,82.24950364,115.91870876,83.12847873
1631693689988,30.248220857092747,30.78398446518804,9.399378707412325,9.84828336197097,8.310585021972656,5.6570539474487305,participant_18,hard,0,1,0,0.08666986936398757,-1.6033037917024884,-0.21909646461414173,42.0,83.0,117.0,84.0,45.25228248,84.21622192,117.50757422,85.14615868
1631693690042,30.30467872502051,30.80896259551808,9.231357658049092,9.73163329227097,9.434181213378906,6.3247551918029785,participant_18,hard,0,1,0,0.0907337118715077,-1.0527023624920597,0.05477052995152815,42.0,82.0,116.0,83.0,44.75398098,83.00929949,117.10562681,84.11531826
1631693690099,30.42061944711166,31.065037703730937,9.49474168283632,10.00347502007935,9.014078140258787,5.831151485443115,participant_18,hard,0,1,0,0.307726662609241,-2.0468335053161373,-0.025288280820097254,43.0,81.0,118.0,83.0,45.79623094,82.11697879,118.80844556,83.57267743
1631693690193,30.15785587360369,30.85653564390668,8.99113641347867,9.404582284805656,8.944472312927246,6.411993980407715,participant_18,hard,0,1,0,0.1469123386017941,-1.2581298231454572,0.1672121557996983,41.0,82.0,116.0,83.0,44.80045117,82.50761366,117.31498454,83.78967102
1631693690193,30.15785587360369,30.85653564390668,8.99113641347867,9.404582284805656,8.944472312927246,6.411993980407715,participant_18,hard,0,1,0,0.14691238242571103,-1.2581253956599103,0.16721258644716272,41.0,82.0,116.0,83.0,44.80045117,82.50761366,117.31498454,83.78967102
1631693690335,30.15785587360369,30.85653564390668,8.99113641347867,9.404582284805656,8.062458038330078,7.143057346343994,participant_18,hard,0,1,0,0.13406697326797712,-1.4013539647334177,0.1747410203151442,41.0,82.0,115.0,84.0,44.80045117,82.50761366,117.31498454,83.78967102
1631693690416,30.060516274870693,30.931067939147383,8.954271179460193,9.201521820501512,8.062458038330078,7.143057346343994,participant_18,hard,0,1,0,0.037936928063004416,-1.8531605619139524,0.1176872686838465,41.0,83.0,115.0,84.0,44.00256412,83.8342712,116.92685458,84.99969634
1631693690492,30.060516274870693,30.931067939147383,8.954271179460193,9.201521820501512,8.544203758239746,7.280309677124023,participant_18,hard,0,1,0,0.17300259599630863,-1.2422539478997117,0.16614806253017667,40.0,83.0,116.0,85.0,44.00256412,83.8342712,116.92685458,84.99969634
1631693690571,30.30165106520872,30.8662067589612,8.864053837678512,9.240844908199506,8.14431095123291,7.211302280426025,participant_18,hard,0,1,0,0.8895904375931707,-1.8556778853415432,0.1621062206267735,48.0,83.0,124.0,87.0,49.98496162,85.08400597,123.34810994,87.18468123
1631693690571,30.30165106520872,30.8662067589612,8.864053837678512,9.240844908199506,8.14431095123291,7.211302280426025,participant_18,hard,0,1,0,0.889590395258864,-1.8556808739815556,0.16210604065387132,48.0,83.0,124.0,87.0,49.98496162,85.08400597,123.34810994,87.18468123
1631693690685,30.10859135261124,30.9892939825004,8.709106776055705,9.270695424514996,7.810449600219727,7.615972995758057,participant_18,hard,0,1,0,0.891570386096106,-1.106600317517529,0.873341998812833,48.0,82.0,123.0,85.0,49.12645638,82.90046653,122.07793518,85.68058059
1631693690685,30.10859135261124,30.9892939825004,8.709106776055705,9.270695424514996,7.810449600219727,7.615972995758057,participant_18,hard,0,1,0,0.8915705199989077,-1.1065943828012972,0.8733424332541068,48.0,82.0,123.0,85.0,49.12645638,82.90046653,122.07793518,85.68058059
1631693690839,29.97362928417715,31.23194589774357,9.304208913144976,9.64738972917985,5.831151485443115,7.211302280426025,participant_18,hard,0,1,0,1.186749581756743,-0.7685567158679045,1.8153824064145305,46.0,83.0,121.0,86.0,47.72487941,84.68208568,121.04989712,87.70040739
1631693690839,29.97362928417715,31.23194589774357,9.304208913144976,9.64738972917985,5.831151485443115,7.211302280426025,participant_18,hard,0,1,0,1.1867499093460765,-0.7685460716380031,1.8153829098232375,46.0,83.0,121.0,86.0,47.72487941,84.68208568,121.04989712,87.70040739
1631693690933,29.93552602844919,31.44950582386174,9.743450438758371,10.097064541418147,4.123305320739746,5.831151485443115,participant_18,hard,0,1,0,1.5903842115455689,-0.9595865486295636,2.9123166125322513,46.0,81.0,121.0,85.0,48.05345569,82.67832381,121.84285343,86.08024679
1631693691021,29.627345344274545,31.11205925233662,9.02028634452563,9.315090689219687,8.60252571105957,4.123305320739746,participant_18,hard,0,1,0,1.7759547612475615,-0.9884858193084846,2.7689730009657203,48.0,82.0,123.0,86.0,49.95789598,83.26890255,123.13461098,86.79381004
